Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_CADENCE {"os_low_processor_usage_mode":true,"os_low_processor_usage_mode_sleep_usec":6900,"pid":14948,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","settings":{"interface/editor/display/update_continuously":false,"interface/editor/timers/low_processor_mode_sleep_usec":6900,"interface/editor/timers/unfocused_low_processor_mode_sleep_usec":6900,"run/output/max_lines":100},"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10107977,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":10611690,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11115383,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":11619264,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12123024,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":12627342,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13130663,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":13634835,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14138155,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":14641604,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15145464,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":15649125,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16152238,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":16656580,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17160515,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":17663958,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18167305,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18671432,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19174351,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19678923,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20182809,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20686153,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21190300,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21693960,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22196835,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22700485,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23204857,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23708193,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24211789,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24716257,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25219644,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25722726,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26226716,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26730703,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27233897,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27738356,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28241570,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28745091,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29248683,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29752790,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30256937,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30759870,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31263785,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31767393,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32271498,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32774806,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":33278674,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":33782741,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34285547,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34790229,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35292917,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35797436,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36300562,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36804894,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37308255,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37811573,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38315218,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38819095,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39322963,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39826812,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40329964,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40834220,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41337564,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41840864,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42344628,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42849172,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43352738,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43855940,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44360097,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44863837,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45367013,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45870991,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":46374820,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":46878927,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47382441,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47805307,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_START {"batch_index":0,"command_batch_sha256":"32abd1dd40242b54199110369cc6d7b51b2f4a5c8e9bef0e192d73906c71ed2c","deadline_mono_us":607078382,"generation":1,"issued_mono_us":7078382,"max_status_gap_ms":504.734,"process_frame":6069,"ready_file":"benchmark/out/ready-00.json","ready_sha256":"05ab1594d840242cd5eaf5ed8a3a6410a32fe645ea8f9bbf25a5106a43560e13","root_instance_id":1519864839491,"semantic_sha256":"f3fd9f270886a056f469e70586795e06c8d47b651021a22366629ab06d886162","start_file":"benchmark/input/start-00.json","start_observed_mono_us":47805303,"start_sha256":"445c22c34c37060746c318dd80e5fff8114842e45d66d0e98cf8019390c80369","start_size_bytes":500}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":47805460,"phase":"CYCLE_BEGIN","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":0,"entry_event_us":47944226,"event":"save_enter","formal_acceptance":false,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6073,"process_entry_us":47944204,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","save_start_us":47944216,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":1,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":47944328,"call_return_us":48039989,"cycle":0,"entry_event_us":47944226,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6079,"next_process_entry_us":48053233,"next_process_exit_frame":6079,"next_process_exit_us":48056421,"observation_complete":true,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6073,"process_entry_us":47944204,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":48056405,"run_id":"gt06-s105-handles-02","save_process_exit_frame":6078,"save_process_exit_us":48039996,"save_result":0,"save_start_us":47944216,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":1,"signal_frame":6078,"signal_us":48033677,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":1,"entry_event_us":48169632,"event":"save_enter","formal_acceptance":false,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6086,"process_entry_us":48169610,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","save_start_us":48169622,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":2,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":48169724,"call_return_us":48267941,"cycle":1,"entry_event_us":48169632,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6092,"next_process_entry_us":48287059,"next_process_exit_frame":6092,"next_process_exit_us":48289975,"observation_complete":true,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6086,"process_entry_us":48169610,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":48289961,"run_id":"gt06-s105-handles-02","save_process_exit_frame":6091,"save_process_exit_us":48267950,"save_result":0,"save_start_us":48169622,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":2,"signal_frame":6091,"signal_us":48261459,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":1,"main_thread":true,"monotonic_us":48313798,"phase":"CYCLE_SETTLE","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":2,"entry_event_us":48406147,"event":"save_enter","formal_acceptance":false,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6099,"process_entry_us":48406121,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","save_start_us":48406135,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":3,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":48406361,"call_return_us":48504886,"cycle":2,"entry_event_us":48406147,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6105,"next_process_entry_us":48509354,"next_process_exit_frame":6105,"next_process_exit_us":48512377,"observation_complete":true,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6099,"process_entry_us":48406121,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":48512358,"run_id":"gt06-s105-handles-02","save_process_exit_frame":6104,"save_process_exit_us":48504895,"save_result":0,"save_start_us":48406135,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":3,"signal_frame":6104,"signal_us":48497061,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":3,"entry_event_us":48623340,"event":"save_enter","formal_acceptance":false,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6112,"process_entry_us":48623317,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","save_start_us":48623330,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":4,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":48623467,"call_return_us":48718544,"cycle":3,"entry_event_us":48623340,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6118,"next_process_entry_us":48722753,"next_process_exit_frame":6118,"next_process_exit_us":48725614,"observation_complete":true,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6112,"process_entry_us":48623317,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":48725601,"run_id":"gt06-s105-handles-02","save_process_exit_frame":6117,"save_process_exit_us":48718551,"save_result":0,"save_start_us":48623330,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":4,"signal_frame":6117,"signal_us":48712487,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":4,"main_thread":true,"monotonic_us":48844691,"phase":"SAVE","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":4,"entry_event_us":48844807,"event":"save_enter","formal_acceptance":false,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6125,"process_entry_us":48844683,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","save_start_us":48844799,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":5,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":48844892,"call_return_us":48934354,"cycle":4,"entry_event_us":48844807,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":6131,"next_process_entry_us":48938942,"next_process_exit_frame":6131,"next_process_exit_us":48941997,"observation_complete":true,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6125,"process_entry_us":48844683,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":48941982,"run_id":"gt06-s105-handles-02","save_process_exit_frame":6130,"save_process_exit_us":48934363,"save_result":0,"save_start_us":48844799,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":5,"signal_frame":6130,"signal_us":48928382,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":5,"entry_event_us":49080934,"event":"save_enter","formal_acceptance":false,"pid":14948,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":6138,"process_entry_us":49080901,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","save_start_us":49080920,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":6,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
